Date,Residential,Change in private inventories,Personal consumption expenditures,Intellectual property products,Metric_Name
1990/04/23,,"-14,323","6,353,139",,Chained Dollars
1990/04/24,,"-14,323","6,353,139",,Chained Dollars
1990/04/25,,"-14,323","6,353,139",,Chained Dollars
1990/04/26,,"-14,323","6,353,139",,Chained Dollars
1990/04/27,,"-14,323","6,353,139",,Chained Dollars
1990/04/28,,"-14,323","6,353,139",,Chained Dollars
1990/04/29,,"-14,323","6,353,139",,Chained Dollars
1990/04/30,,"-14,323","6,353,139",,Chained Dollars
1990/05/01,,"-14,323","6,353,139",,Chained Dollars
1990/05/02,,"-14,323","6,353,139",,Chained Dollars
1990/05/03,,"-14,323","6,353,139",,Chained Dollars
1990/05/04,,"-14,323","6,353,139",,Chained Dollars
1990/05/05,,"-14,323","6,353,139",,Chained Dollars
1990/05/06,,"-14,323","6,353,139",,Chained Dollars
1990/05/07,,"-14,323","6,353,139",,Chained Dollars
1990/05/08,,"-14,323","6,353,139",,Chained Dollars
1990/05/09,,"-14,323","6,353,139",,Chained Dollars
1990/05/10,,"-14,323","6,353,139",,Chained Dollars
1990/05/11,,"-14,323","6,353,139",,Chained Dollars
1990/05/12,,"-14,323","6,353,139",,Chained Dollars
1990/05/13,,"-14,323","6,353,139",,Chained Dollars
1990/05/14,,"-14,323","6,353,139",,Chained Dollars
1990/05/15,,"-14,323","6,353,139",,Chained Dollars
1990/05/16,,"-14,323","6,353,139",,Chained Dollars
1990/05/17,,"-14,323","6,353,139",,Chained Dollars
1990/05/18,,"-14,323","6,353,139",,Chained Dollars
1990/05/19,,"-14,323","6,353,139",,Chained Dollars
1990/05/20,,"-14,323","6,353,139",,Chained Dollars
1990/05/21,,"-14,323","6,353,139",,Chained Dollars
1990/05/22,,"-14,323","6,353,139",,Chained Dollars
1990/05/23,,"-14,323","6,353,139",,Chained Dollars
1990/05/24,,"-14,323","6,353,139",,Chained Dollars
1990/05/25,,"-14,323","6,353,139",,Chained Dollars
1990/05/26,,"-14,323","6,353,139",,Chained Dollars
1990/05/27,,"-14,323","6,353,139",,Chained Dollars
1990/05/28,,"-14,323","6,353,139",,Chained Dollars
1990/05/29,,"-14,323","6,353,139",,Chained Dollars
1990/05/30,,"-14,323","6,353,139",,Chained Dollars
1990/05/31,,"-14,323","6,353,139",,Chained Dollars
1990/06/01,,"-14,323","6,353,139",,Chained Dollars
1990/06/02,,"-14,323","6,353,139",,Chained Dollars
1990/06/03,,"-14,323","6,353,139",,Chained Dollars
1990/06/04,,"-14,323","6,353,139",,Chained Dollars
1990/06/05,,"-14,323","6,353,139",,Chained Dollars
1990/06/06,,"-14,323","6,353,139",,Chained Dollars
1990/06/07,,"-14,323","6,353,139",,Chained Dollars
1990/06/08,,"-14,323","6,353,139",,Chained Dollars
1990/06/09,,"-14,323","6,353,139",,Chained Dollars
1990/06/10,,"-14,323","6,353,139",,Chained Dollars
1990/06/11,,"-14,323","6,353,139",,Chained Dollars
1990/06/12,,"-14,323","6,353,139",,Chained Dollars
1990/06/13,,"-14,323","6,353,139",,Chained Dollars
1990/06/14,,"-14,323","6,353,139",,Chained Dollars
1990/06/15,,"-14,323","6,353,139",,Chained Dollars
1990/06/16,,"-14,323","6,353,139",,Chained Dollars
1990/06/17,,"-14,323","6,353,139",,Chained Dollars
1990/06/18,,"-14,323","6,353,139",,Chained Dollars
1990/06/19,,"-14,323","6,353,139",,Chained Dollars
1990/06/20,,"-14,323","6,353,139",,Chained Dollars
1990/06/21,,"-14,323","6,353,139",,Chained Dollars
1990/06/22,,"-14,323","6,353,139",,Chained Dollars
1990/06/23,,"-14,323","6,353,139",,Chained Dollars
1990/06/24,,"-14,323","6,353,139",,Chained Dollars
1990/06/25,,"-14,323","6,353,139",,Chained Dollars
1990/06/26,,"-14,323","6,353,139",,Chained Dollars
1990/06/27,,"-14,323","6,353,139",,Chained Dollars
1990/06/28,,"-14,323","6,353,139",,Chained Dollars
1990/06/29,,"-14,323","6,353,139",,Chained Dollars
1990/06/30,,"-14,323","6,353,139",,Chained Dollars
1990/07/01,,"-14,323","6,353,139",,Chained Dollars
1990/07/02,,"-14,323","6,353,139",,Chained Dollars
1990/07/03,,"-14,323","6,353,139",,Chained Dollars
1990/07/04,,"-14,323","6,353,139",,Chained Dollars
1990/07/05,,"-14,323","6,353,139",,Chained Dollars
1990/07/06,,"-14,323","6,353,139",,Chained Dollars
1990/07/07,,"-14,323","6,353,139",,Chained Dollars
1990/07/08,,"-14,323","6,353,139",,Chained Dollars
1990/07/09,,"-14,323","6,353,139",,Chained Dollars
1990/07/10,,"-14,323","6,353,139",,Chained Dollars
1990/07/11,,"-14,323","6,353,139",,Chained Dollars
1990/07/12,,"-14,323","6,353,139",,Chained Dollars
1990/07/13,,"-14,323","6,353,139",,Chained Dollars
1990/07/14,,"-14,323","6,353,139",,Chained Dollars
1990/07/15,,"-14,323","6,353,139",,Chained Dollars
1990/07/16,,"-14,323","6,353,139",,Chained Dollars
1990/07/17,,"-14,323","6,353,139",,Chained Dollars
1990/07/18,,"-14,323","6,353,139",,Chained Dollars
1990/07/19,,"-14,323","6,353,139",,Chained Dollars
1990/07/20,,"-14,323","6,353,139",,Chained Dollars
1990/07/21,,"-14,323","6,353,139",,Chained Dollars
1990/07/22,,"-14,323","6,353,139",,Chained Dollars
1990/07/23,,"-14,323","6,353,139",,Chained Dollars
1990/07/24,,"-14,323","6,353,139",,Chained Dollars
1990/07/25,,"-14,323","6,353,139",,Chained Dollars
1990/07/26,,"-14,323","6,353,139",,Chained Dollars
1990/07/27,,"-14,323","6,353,139",,Chained Dollars
1990/07/28,,"-14,323","6,353,139",,Chained Dollars
1990/07/29,,"-14,323","6,353,139",,Chained Dollars
1990/07/30,,"-14,323","6,353,139",,Chained Dollars
1990/07/31,,"-14,323","6,353,139",,Chained Dollars
1990/08/01,,"-14,323","6,353,139",,Chained Dollars
1990/08/02,,"-14,323","6,353,139",,Chained Dollars
1990/08/03,,"-14,323","6,353,139",,Chained Dollars
1990/08/04,,"-14,323","6,353,139",,Chained Dollars
1990/08/05,,"-14,323","6,353,139",,Chained Dollars
1990/08/06,,"-14,323","6,353,139",,Chained Dollars
1990/08/07,,"-14,323","6,353,139",,Chained Dollars
1990/08/08,,"-14,323","6,353,139",,Chained Dollars
1990/08/09,,"-14,323","6,353,139",,Chained Dollars
1990/08/10,,"-14,323","6,353,139",,Chained Dollars
1990/08/11,,"-14,323","6,353,139",,Chained Dollars
1990/08/12,,"-14,323","6,353,139",,Chained Dollars
1990/08/13,,"-14,323","6,353,139",,Chained Dollars
1990/08/14,,"-14,323","6,353,139",,Chained Dollars
1990/08/15,,"-14,323","6,353,139",,Chained Dollars
1990/08/16,,"-14,323","6,353,139",,Chained Dollars
1990/08/17,,"-14,323","6,353,139",,Chained Dollars
1990/08/18,,"-14,323","6,353,139",,Chained Dollars
1990/08/19,,"-14,323","6,353,139",,Chained Dollars
1990/08/20,,"-14,323","6,353,139",,Chained Dollars
1990/08/21,,"-14,323","6,353,139",,Chained Dollars
1990/08/22,,"-14,323","6,353,139",,Chained Dollars
1990/08/23,,"-14,323","6,353,139",,Chained Dollars
1990/08/24,,"-14,323","6,353,139",,Chained Dollars
1990/08/25,,"-14,323","6,353,139",,Chained Dollars
1990/08/26,,"-14,323","6,353,139",,Chained Dollars
1990/08/27,,"-14,323","6,353,139",,Chained Dollars
1990/08/28,,"-14,323","6,353,139",,Chained Dollars
1990/08/29,,"-14,323","6,353,139",,Chained Dollars
1990/08/30,,"-14,323","6,353,139",,Chained Dollars
1990/08/31,,"-14,323","6,353,139",,Chained Dollars
1990/09/01,,"-14,323","6,353,139",,Chained Dollars
1990/09/02,,"-14,323","6,353,139",,Chained Dollars
1990/09/03,,"-14,323","6,353,139",,Chained Dollars
1990/09/04,,"-14,323","6,353,139",,Chained Dollars
1990/09/05,,"-14,323","6,353,139",,Chained Dollars
1990/09/06,,"-14,323","6,353,139",,Chained Dollars
1990/09/07,,"-14,323","6,353,139",,Chained Dollars
1990/09/08,,"-14,323","6,353,139",,Chained Dollars
1990/09/09,,"-14,323","6,353,139",,Chained Dollars
1990/09/10,,"-14,323","6,353,139",,Chained Dollars
1990/09/11,,"-14,323","6,353,139",,Chained Dollars
